match_id,competition,season,period,minute,is_shootout,shootout_kick_order,team,kicker,kicker_id,body_part,outcome,end_y,direction
303532,La Liga,2019/2020,2,68,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,43.6,L
303504,La Liga,2019/2020,1,37,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,42.4,L
303664,La Liga,2019/2020,1,11,False,,Real Sociedad,Mikel Oyarzabal Ugarte,6685.0,Left Foot,Goal,38.8,C
303400,La Liga,2019/2020,1,11,False,,Valencia,Maximiliano Gómez González,6297.0,Right Foot,Saved,42.8,L
303479,La Liga,2019/2020,2,80,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,43.3,L
303696,La Liga,2019/2020,1,18,False,,Atlético Madrid,Saúl Ñíguez Esclapez,6381.0,Left Foot,Goal,43.3,L
303696,La Liga,2019/2020,2,49,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,37.6,R
303696,La Liga,2019/2020,2,61,False,,Atlético Madrid,Saúl Ñíguez Esclapez,6381.0,Left Foot,Goal,43.3,L
303487,La Liga,2019/2020,1,22,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,36.5,R
303707,La Liga,2019/2020,1,5,False,,Real Betis,Sergio Canales Madrazo,6673.0,Left Foot,Goal,37.1,R
303666,La Liga,2019/2020,2,65,False,,Granada,Álvaro Vadillo Cifuentes,24143.0,Right Foot,Goal,37.1,R
303517,La Liga,2019/2020,2,74,False,,Barcelona,Luis Alberto Suárez Díaz,5246.0,Right Foot,Goal,37.9,R
22912,Champions League,2018/2019,1,1,False,,Liverpool,Mohamed Salah,3531.0,Left Foot,Goal,42.5,L
68313,La Liga,2004/2005,1,43,False,,Barcelona,Ronaldo de Assis Moreira,25879.0,Right Foot,Goal,36.5,R
69329,La Liga,2011/2012,2,94,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Saved,43.3,L
70219,La Liga,2011/2012,1,23,False,,Real Zaragoza,Ángel Lafita Castillo,26020.0,Right Foot,Saved,42.7,L
70219,La Liga,2011/2012,2,85,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,38.8,C
69322,La Liga,2011/2012,2,55,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,42.5,L
70225,La Liga,2011/2012,2,61,False,,Granada,Guilherme Magdalena Siqueira,26780.0,Left Foot,Goal,38.0,R
70225,La Liga,2011/2012,2,88,False,,Granada,Guilherme Magdalena Siqueira,26780.0,Left Foot,Goal,43.6,L
69340,La Liga,2011/2012,1,34,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,38.7,C
69340,La Liga,2011/2012,2,58,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,43.4,L
69327,La Liga,2011/2012,2,85,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,38.0,R
69320,La Liga,2011/2012,2,63,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,43.8,L
69320,La Liga,2011/2012,2,78,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,43.4,L
69314,La Liga,2011/2012,1,12,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,42.9,L
70221,La Liga,2011/2012,1,22,False,,Levante UD,José Javier Barkero Saludes,26226.0,Left Foot,Goal,37.6,R
70221,La Liga,2011/2012,2,71,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,42.2,L
69323,La Liga,2011/2012,2,57,False,,Barcelona,Lionel Andrés Messi Cuccittini,5503.0,Left Foot,Goal,43.2,L
3754117,Premier League,2015/2016,1,7,False,,Arsenal,Olivier Giroud,3604.0,Left Foot,Goal,42.9,L
3754047,Premier League,2015/2016,2,61,False,,Liverpool,James Philip Milner,3473.0,Right Foot,Goal,39.9,C
3754058,Premier League,2015/2016,2,58,False,,Leicester City,Riyad Mahrez,3814.0,Left Foot,Saved,43.0,L
3754039,Premier League,2015/2016,1,15,False,,Watford,Troy Deeney,3454.0,Right Foot,Goal,37.9,R
3754146,Premier League,2015/2016,2,50,False,,Leicester City,Riyad Mahrez,3814.0,Left Foot,Goal,43.5,L
3754278,Premier League,2015/2016,2,84,False,,AFC Bournemouth,Glenn Murray,3085.0,Right Foot,Saved,43.0,L
3753972,Premier League,2015/2016,1,38,False,,Swansea City,Jonjo Shelvey,3057.0,Right Foot,Goal,43.8,L
3753978,Premier League,2015/2016,2,82,False,,Swansea City,Gylfi Þór Sigurðsson,3944.0,Right Foot,Goal,39.5,C
3754006,Premier League,2015/2016,2,83,False,,West Bromwich Albion,Rickie Lambert,40124.0,Right Foot,Goal,43.5,L
3754023,Premier League,2015/2016,2,85,False,,Leicester City,Jamie Vardy,10960.0,Right Foot,Goal,42.5,L
3754025,Premier League,2015/2016,2,49,False,,Chelsea,Oscar dos Santos Emboaba Júnior,40122.0,Right Foot,Goal,42.7,L
3754056,Premier League,2015/2016,2,90,False,,Stoke City,Marko Arnautović,3325.0,Right Foot,Goal,39.5,C
3754067,Premier League,2015/2016,1,24,False,,Crystal Palace,Yohan Cabaye,3277.0,Right Foot,Goal,36.7,R
3754099,Premier League,2015/2016,2,88,False,,Crystal Palace,Yohan Cabaye,3277.0,Right Foot,Goal,42.4,L
3754057,Premier League,2015/2016,1,25,False,,Tottenham Hotspur,Harry Kane,10955.0,Right Foot,Goal,39.4,C
3754054,Premier League,2015/2016,2,68,False,,Manchester City,Wilfried Guemiand Bony,3598.0,Right Foot,Off T,42.9,L
3754185,Premier League,2015/2016,2,86,False,,Watford,Troy Deeney,3454.0,Right Foot,Goal,38.2,R
3754119,Premier League,2015/2016,1,47,False,,Sunderland,Adam Johnson,42902.0,Left Foot,Goal,43.2,L
3754167,Premier League,2015/2016,2,88,False,,Manchester City,Gnégnéri Yaya Touré,3087.0,Right Foot,Goal,36.9,R
3754167,Premier League,2015/2016,2,96,False,,Manchester City,Aleksandar Kolarov,5596.0,Left Foot,Off T,45.5,L
3754153,Premier League,2015/2016,1,45,False,,Crystal Palace,Connor Wickham,20641.0,Right Foot,Goal,40.8,C
3754153,Premier League,2015/2016,2,75,False,,Stoke City,Bojan Krkíc Pérez,4913.0,Right Foot,Goal,37.1,R
3754166,Premier League,2015/2016,1,26,False,,Leicester City,Riyad Mahrez,3814.0,Left Foot,Goal,36.3,R
3754166,Premier League,2015/2016,2,64,False,,Leicester City,Riyad Mahrez,3814.0,Left Foot,Goal,43.0,L
3754204,Premier League,2015/2016,1,11,False,,Aston Villa,Scott Sinclair,11117.0,Right Foot,Goal,36.8,R
3754219,Premier League,2015/2016,2,86,False,,AFC Bournemouth,Charlie Daniels,3345.0,Left Foot,Goal,42.4,L
3754285,Premier League,2015/2016,2,61,False,,Aston Villa,Jordan Ayew,3450.0,Right Foot,Goal,39.4,C
3754270,Premier League,2015/2016,2,77,False,,Stoke City,Marko Arnautović,3325.0,Right Foot,Goal,37.4,R
3754237,Premier League,2015/2016,1,24,False,,Leicester City,Riyad Mahrez,3814.0,Left Foot,Goal,42.8,L
3754266,Premier League,2015/2016,2,70,False,,Crystal Palace,Yohan Cabaye,3277.0,Right Foot,Goal,38.0,R
3754269,Premier League,2015/2016,1,3,False,,Stoke City,Bojan Krkíc Pérez,4913.0,Right Foot,Goal,43.3,L
3754234,Premier League,2015/2016,1,8,False,,Tottenham Hotspur,Harry Kane,10955.0,Right Foot,Goal,42.5,L
3754286,Premier League,2015/2016,1,29,False,,Watford,Troy Deeney,3454.0,Right Foot,Goal,42.0,L
3754287,Premier League,2015/2016,1,41,False,,Watford,Troy Deeney,3454.0,Right Foot,Goal,43.1,L
3754287,Premier League,2015/2016,2,79,False,,Chelsea,Oscar dos Santos Emboaba Júnior,40122.0,Right Foot,Off T,40.1,C
3754335,Premier League,2015/2016,1,27,False,,Leicester City,Jamie Vardy,10960.0,Right Foot,Goal,38.2,R
3754297,Premier League,2015/2016,2,90,False,,Manchester United,Juan Manuel Mata García,3294.0,Left Foot,Goal,40.0,C
3754301,Premier League,2015/2016,2,83,False,,Arsenal,Santiago Cazorla González,11386.0,Right Foot,Wayward,42.8,L
3754156,Premier League,2015/2016,2,64,False,,Leicester City,Jamie Vardy,10960.0,Right Foot,Goal,39.6,C
3754156,Premier League,2015/2016,2,74,False,,Watford,Troy Deeney,3454.0,Right Foot,Goal,37.8,R
3754000,Premier League,2015/2016,2,68,False,,Southampton,Dušan Tadić,3831.0,Left Foot,Goal,43.2,L
3754003,Premier League,2015/2016,2,69,False,,Manchester United,Ander Herrera Agüera,3606.0,Right Foot,Goal,37.8,R
3754131,Premier League,2015/2016,2,47,False,,West Ham United,Mark Noble,3874.0,Right Foot,Goal,37.7,R
3754131,Premier League,2015/2016,2,78,False,,AFC Bournemouth,Callum Wilson,3616.0,Right Foot,Goal,43.3,L
3754059,Premier League,2015/2016,1,13,False,,West Bromwich Albion,James Morrison,3490.0,Right Foot,Saved,40.1,C
3754064,Premier League,2015/2016,2,49,False,,Southampton,Sadio Mané,3629.0,Right Foot,Saved,36.8,R
3753973,Premier League,2015/2016,2,88,False,,Chelsea,Francesc Fàbregas i Soler,3478.0,Right Foot,Goal,43.3,L
3753994,Premier League,2015/2016,2,74,False,,Southampton,Ryan Bertrand,20045.0,Left Foot,Goal,37.2,R
3754004,Premier League,2015/2016,2,53,False,,AFC Bournemouth,Charlie Daniels,3345.0,Left Foot,Goal,43.2,L
