player,foot,n,raw_L,raw_C,raw_R,shrunk_L,shrunk_C,shrunk_R,P_natural,u_nonnat,P(favours_natural>avg),established_bias
Antonio Candreva,Right,8,0.12,0.0,0.88,0.36,0.12,0.52,0.515,-0.106,0.641,0.330115
Lionel Cuccittini,Left,83,0.55,0.13,0.31,0.51,0.14,0.36,0.509,-0.111,0.737,0.375133
Josip Iličić,Left,8,0.75,0.0,0.25,0.5,0.12,0.37,0.504,-0.047,0.577,0.29080799999999996
Kylian Lottin,Right,12,0.42,0.0,0.58,0.39,0.11,0.49,0.493,0.024,0.458,0.225794
Harry Kane,Right,14,0.29,0.21,0.5,0.36,0.15,0.49,0.489,-0.046,0.572,0.27970799999999996
Ronaldo Moreira,Right,16,0.44,0.06,0.5,0.39,0.12,0.49,0.487,0.037,0.442,0.215254
Neymar Junior,Right,15,0.4,0.13,0.47,0.38,0.13,0.49,0.485,0.014,0.482,0.23376999999999998
Antoine Griezmann,Left,9,0.44,0.11,0.44,0.48,0.13,0.39,0.483,0.035,0.445,0.214935
Luis Díaz,Right,10,0.4,0.2,0.4,0.38,0.14,0.48,0.479,0.02,0.469,0.224651
Cristiano Aveiro,Right,23,0.52,0.09,0.39,0.41,0.12,0.47,0.469,0.126,0.302,0.141638
